seed,split,EER,APCER,BPCER,BPCER@APCER10,BPCER@APCER5,BPCER@APCER1,AVRank
0,val,0.011777916647211674,0.006761107533805538,0.021922428330522766,0.006745362563237774,0.008431703204047217,0.013490725126475547,0.010623946037099494
0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,test_tta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.010129852572782483,0.006600128783000644,0.021922428330522766,0.00505902192242833,0.008431703204047217,0.01011804384485666,0.008600337268128162
1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,test_tta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.011777916647211674,0.007244043786220219,0.021922428330522766,0.008431703204047217,0.008431703204047217,0.013490725126475547,0.010961214165261381
2,test,0.00011701380762930026,0.0002340276152586005,0.0,0.0,0.0,0.0,0.0
2,test_tta,0.00011701380762930026,0.000468055230517201,0.0,0.0,0.0,0.0,0.0
