Exp,Modelo,Dropout,Pad,Runs,Split,EER,APCER,BPCER,BPCER@APCER10,BPCER@APCER5,BPCER@APCER1,AVRank
exp04_pad_15,dinov2,0.5,15%,3,VAL,0.1398 ± 0.0315,0.0471 ± 0.0244,0.5346 ± 0.2677,0.2473 ± 0.1078,0.4947 ± 0.0919,0.8375 ± 0.0743,0.6166 ± 0.0861
exp04_pad_15,dinov2,0.5,15%,3,TEST,0.0123 ± 0.0048,0.0032 ± 0.0014,0.0731 ± 0.0438,0.0002 ± 0.0003,0.0008 ± 0.0005,0.0194 ± 0.0160,0.0100 ± 0.0081
exp06_dinov2_unfreeze,dinov2,0.5,8%,3,VAL,0.0290 ± 0.0052,0.0082 ± 0.0055,0.1641 ± 0.1061,0.0084 ± 0.0017,0.0152 ± 0.0061,0.1085 ± 0.0471,0.0605 ± 0.0231
exp06_dinov2_unfreeze,dinov2,0.5,8%,3,TEST,0.0000 ± 0.0000,0.0001 ± 0.0001,0.0043 ± 0.0070,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
exp05_vit_lora,vit_lora,0.5,8%,3,VAL,0.0983 ± 0.0422,0.0188 ± 0.0122,0.4559 ± 0.3862,0.1091 ± 0.1161,0.2451 ± 0.2099,0.5632 ± 0.2529,0.3770 ± 0.2125
exp05_vit_lora,vit_lora,0.5,8%,3,TEST,0.0022 ± 0.0015,0.0004 ± 0.0004,0.0478 ± 0.0651,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0002 ± 0.0003,0.0001 ± 0.0001
exp07_dropout_08,efficientnet_b4,0.8,8%,3,VAL,0.0850 ± 0.0093,0.0312 ± 0.0079,0.2917 ± 0.0812,0.0646 ± 0.0250,0.1832 ± 0.0448,0.5419 ± 0.0212,0.3388 ± 0.0244
exp07_dropout_08,efficientnet_b4,0.8,8%,3,TEST,0.0064 ± 0.0017,0.0125 ± 0.0077,0.0057 ± 0.0082,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0032 ± 0.0020,0.0016 ± 0.0010
exp07_dropout_08,mobilenetv3_large,0.8,8%,3,VAL,0.1561 ± 0.0094,0.0070 ± 0.0023,0.8831 ± 0.0317,0.2760 ± 0.0226,0.5087 ± 0.0354,0.8589 ± 0.0108,0.6373 ± 0.0192
exp07_dropout_08,mobilenetv3_large,0.8,8%,3,TEST,0.0330 ± 0.0083,0.0525 ± 0.0106,0.0120 ± 0.0082,0.0019 ± 0.0025,0.0153 ± 0.0130,0.1611 ± 0.0525,0.0855 ± 0.0307
exp07_dropout_08,dinov2,0.8,8%,3,VAL,0.1383 ± 0.0104,0.0120 ± 0.0068,0.8364 ± 0.0702,0.2552 ± 0.0520,0.5104 ± 0.0573,0.8516 ± 0.0281,0.6300 ± 0.0403
exp07_dropout_08,dinov2,0.8,8%,3,TEST,0.0131 ± 0.0036,0.0104 ± 0.0076,0.0230 ± 0.0232,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0213 ± 0.0164,0.0106 ± 0.0082
exp07_dropout_08,clip,0.8,8%,3,VAL,0.1373 ± 0.0121,0.0278 ± 0.0229,0.6127 ± 0.2376,0.2119 ± 0.0419,0.4126 ± 0.0727,0.7763 ± 0.0610,0.5543 ± 0.0606
exp07_dropout_08,clip,0.8,8%,3,TEST,0.0066 ± 0.0026,0.0075 ± 0.0065,0.0164 ± 0.0144,0.0005 ± 0.0005,0.0005 ± 0.0005,0.0039 ± 0.0028,0.0022 ± 0.0013
exp08_clip_best,clip,0.7,0%,3,VAL,0.1023 ± 0.0279,0.0248 ± 0.0111,0.4621 ± 0.2645,0.1152 ± 0.0706,0.2631 ± 0.1542,0.6706 ± 0.1295,0.4373 ± 0.1238
exp08_clip_best,clip,0.7,0%,3,TEST,0.0018 ± 0.0010,0.0019 ± 0.0006,0.0024 ± 0.0037,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
